"","Q7","Q10","Q11","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q28","Q29","Q30","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q42","Q43","Q44","Q45","Q47","Q49","Q50","Q51","Q52","Q53","Q54","Q56","Q57","Q58","Q59","Q61","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"1889",3,3,4,3,5,5,2,5,5,1,5,3,5,5,3,4,3,5,4,NA,5,5,5,5,5,4,5,5,5,2,5,5,1,5,5,4,4,5,4,4,3,5,3,4,3,3,3,1,3,3,3,5,3,3,4,5,4,NA,1,3
"1890",1,1,1,1,3,1,3,5,3,1,1,3,4,1,1,1,1,3,3,3,2,1,4,5,1,3,2,1,4,1,1,1,2,4,1,3,3,1,4,2,3,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1891",4,2,2,1,5,4,5,1,5,5,2,4,1,2,2,3,1,4,2,5,4,5,4,5,4,5,3,4,3,1,2,1,5,3,2,5,5,3,2,4,5,3,3,3,1,4,5,5,1,3,3,3,1,5,4,3,3,3,1,3
"1892",5,1,5,2,5,5,3,4,5,4,5,3,1,3,2,3,1,4,2,5,3,5,5,4,4,4,3,4,4,1,3,3,5,3,2,5,2,3,2,2,4,1,4,2,1,4,1,4,2,4,1,4,5,5,5,3,4,4,1,4
"1893",4,4,5,4,4,5,4,5,5,3,5,4,5,4,4,5,3,4,3,4,5,5,5,5,5,4,5,4,5,1,4,5,4,4,5,4,4,5,5,5,5,4,4,5,4,5,3,1,1,4,1,3,4,4,4,4,5,3,4,1
"1894",1,1,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,4,2,1,1,3,4,1,1,1,2,1,1,1,1,3,1,4,3,1,2,3,1,1,3,1,2,1,3,1,3,1,3,1,2,2,3,2,2,1,1,1,1
"1895",1,4,5,3,5,4,5,5,5,3,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,4,2,5,5,1,3,5,5,5,3,3,5,5,5,4,5,4,5,3,4,2,5,3,2,5,5,5,4,4,4,3,3
"1896",3,4,5,4,3,5,2,5,5,3,4,5,5,4,5,4,3,5,4,5,4,4,5,5,4,5,5,4,5,1,3,5,1,5,5,5,5,5,5,5,5,4,4,5,3,5,5,5,4,5,2,3,2,5,5,3,4,3,5,3
"1897",4,4,3,2,4,4,1,4,4,1,3,4,3,3,1,3,3,3,4,4,4,4,4,4,4,2,2,3,4,1,4,4,1,2,4,3,4,1,4,4,4,4,2,4,2,4,3,3,3,3,3,4,2,3,3,4,3,4,3,3
"1898",1,2,2,4,4,4,1,4,4,4,1,5,3,3,2,3,3,4,5,4,3,2,5,4,2,4,1,3,4,3,3,1,3,2,3,4,3,1,4,3,5,3,1,3,3,4,3,4,4,3,2,5,3,5,3,5,3,4,1,3
"1899",3,3,3,2,4,1,2,4,3,1,2,4,1,3,2,4,1,4,3,4,4,3,3,4,4,3,4,2,4,1,2,5,1,1,4,4,4,4,3,2,4,4,2,3,3,3,4,4,3,5,3,3,3,4,4,4,4,4,3,3
"1900",4,3,3,1,5,1,2,4,4,1,1,4,3,1,3,3,1,4,3,3,4,2,4,4,4,4,3,3,5,3,2,5,1,4,5,5,4,3,4,4,5,4,4,4,3,5,4,5,3,5,1,4,1,3,4,4,1,4,3,1
"1901",2,4,1,1,3,4,2,4,3,2,3,3,3,2,4,1,1,2,2,4,3,2,3,4,1,3,2,4,1,1,2,3,4,1,3,2,3,3,1,2,1,2,2,3,1,4,3,3,1,4,5,2,3,4,4,3,5,3,1,3
"1902",5,1,5,2,4,2,4,5,5,1,1,1,2,2,1,3,1,4,5,5,4,5,5,5,5,4,4,3,5,1,5,1,1,2,5,3,4,4,2,5,5,5,2,2,3,4,1,3,2,5,2,3,2,5,3,3,5,2,1,2
"1903",3,2,2,5,3,2,3,5,5,1,2,3,2,2,3,3,5,3,5,4,5,4,5,5,4,2,2,4,5,1,2,1,2,4,5,4,4,5,3,2,5,5,3,5,1,5,5,4,3,5,3,5,3,3,4,5,3,5,4,3
"1904",2,4,1,4,5,4,4,5,5,4,2,5,4,4,3,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,1,5,5,5,5,4,1,3,5,3,5,4,4,5,4,5,3,5,3,4,1,5,5,5,3,4,3,5
"1905",1,1,1,1,1,1,1,1,2,2,1,3,1,3,2,2,1,4,1,2,3,2,2,3,1,2,1,1,2,1,1,3,3,2,1,2,1,1,1,1,2,1,1,1,1,2,3,2,3,2,1,2,1,1,3,2,3,3,1,2
"1906",1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,2,2,1,4,1,2,2,4,1,4,1,1
"1907",3,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1
"1908",NA,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
"1909",5,5,5,2,2,2,1,5,1,1,1,3,2,2,1,2,1,5,2,5,2,1,5,5,4,2,4,3,2,1,2,5,1,1,2,3,1,5,4,2,2,3,3,2,1,4,2,5,4,5,1,4,3,5,5,5,4,5,1,2
"1910",1,1,2,2,1,1,2,1,1,1,1,2,1,3,1,1,4,1,1,1,2,2,1,1,1,2,2,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,3,1,1,1,1,2,1,2,2,1,3,1,1
"1911",2,5,5,5,3,5,4,5,5,4,5,4,5,5,1,5,2,5,5,4,4,4,5,5,5,5,4,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,3,5,3,5,5,4,5,5,4,5,1,5,5,5,4,5,5,5
"1912",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
"1913",1,2,4,3,5,4,1,5,5,1,1,5,1,3,3,3,2,5,4,5,3,5,5,5,5,2,4,4,5,1,3,5,1,1,4,5,5,4,5,1,5,4,3,2,2,5,2,5,4,4,1,3,3,4,4,4,3,4,3,3
"1914",4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
"1915",5,5,5,5,4,5,5,5,5,1,5,5,5,4,4,4,5,4,4,5,5,5,5,5,2,4,5,5,4,1,5,5,1,4,5,5,5,5,5,5,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1916",3,1,1,1,1,4,3,1,1,3,1,1,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,5,1,1,3,1,1,2,1,1,1,1,2,4,1,1,3,1,4,1,5,3,1,2,3,4,1,2,1,2,4,1,4
"1917",2,4,5,1,5,5,2,5,5,3,1,5,2,3,1,5,1,4,3,5,5,3,5,4,5,2,3,3,5,1,2,5,1,2,3,4,4,5,5,3,5,3,3,2,1,5,5,4,3,5,2,5,3,4,4,3,3,1,4,2
"1918",3,3,4,3,4,3,2,2,3,2,2,1,3,4,1,4,3,1,3,2,3,1,3,4,4,4,3,3,4,2,3,1,3,3,3,3,1,1,3,2,4,3,4,4,3,4,1,2,1,1,1,1,1,1,4,1,1,2,1,1
